ground_truth, iters1, iters2, iters3, iters4, iters5, iters6, iters7, iters8, iters9, iters10, iters11, iters12, iters13, iters14, iters15, iters16, iters17, iters18, iters19, iters20, iters21, iters22, iters23, iters24, iters25
0, 1, 0, 30, 19, 18, 20, 27, 4, 17, 16, 27, 12, 8, 0, 0, 19, 8, 0, 0, 27, 19, 0, 0, 19, 0
0, 10, 14, 0, 12, 0, 0, 14, 10, 0, 11, 8, 12, 8, 14, 0, 16, 16, 0, 0, 0, 0, 20, 0, 0, 0
0, 0, 0, 18, 3, 19, 29, 0, 27, 0, 10, 0, 20, 19, 0, 0, 0, 0, 28, 11, 10, 0, 27, 0, 0, 0
0, 14, 13, 28, 14, 0, 26, 18, 19, 10, 0, 30, 10, 0, 0, 19, 0, 31, 27, 0, 0, 19, 0, 0, 12, 0
0, 3, 23, 0, 10, 14, 2, 19, 0, 0, 0, 10, 11, 0, 0, 0, 19, 0, 0, 12, 14, 20, 0, 16, 0, 19
0, 6, 4, 28, 11, 3, 19, 27, 3, 27, 0, 0, 19, 0, 0, 20, 18, 0, 27, 0, 10, 0, 27, 0, 0, 12
0, 0, 28, 19, 27, 10, 10, 14, 27, 0, 31, 0, 0, 0, 19, 20, 19, 12, 8, 0, 16, 20, 0, 19, 0, 0
0, 21, 19, 22, 22, 28, 8, 0, 0, 12, 12, 3, 3, 27, 19, 0, 8, 8, 0, 0, 0, 0, 0, 8, 10, 0
0, 29, 30, 8, 0, 0, 16, 0, 0, 0, 27, 20, 19, 19, 0, 10, 0, 0, 0, 0, 0, 10, 18, 27, 0, 0
0, 3, 27, 19, 27, 26, 0, 14, 20, 30, 0, 27, 0, 0, 17, 8, 8, 31, 19, 12, 0, 19, 3, 0, 0, 14
0, 0, 24, 3, 24, 14, 18, 10, 16, 0, 0, 10, 11, 12, 0, 30, 0, 27, 18, 0, 19, 0, 0, 0, 0, 19
0, 19, 19, 3, 22, 0, 17, 27, 10, 8, 14, 14, 0, 12, 8, 0, 0, 0, 10, 19, 0, 0, 0, 19, 0, 10
