ground_truth, iters1, iters2, iters3, iters4, iters5, iters6, iters7, iters8, iters9, iters10, iters11, iters12, iters13, iters14, iters15, iters16, iters17, iters18, iters19, iters20, iters21, iters22, iters23, iters24, iters25
0, 9, 4, 0, 4, 14, 2, 0, 14, 16, 6, 0, 8, 16, 4, 0, 0, 4, 0, 16, 0, 6, 0, 4, 22, 0
0, 2, 20, 2, 22, 16, 14, 4, 0, 22, 0, 0, 0, 22, 0, 16, 14, 6, 22, 0, 8, 0, 0, 22, 0, 0
0, 30, 20, 2, 4, 16, 0, 16, 14, 16, 12, 4, 16, 0, 0, 14, 16, 0, 4, 0, 16, 8, 16, 22, 22, 0
0, 16, 0, 12, 0, 12, 0, 2, 22, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 12, 4, 0, 14, 6, 22, 22
0, 16, 4, 0, 4, 6, 0, 0, 11, 22, 0, 4, 0, 0, 0, 0, 0, 14, 12, 14, 22, 0, 16, 0, 0, 0
0, 7, 27, 4, 0, 16, 2, 22, 0, 6, 22, 0, 0, 0, 14, 14, 22, 0, 6, 0, 0, 22, 0, 2, 16, 0
0, 27, 20, 4, 0, 18, 0, 0, 8, 0, 16, 6, 8, 14, 0, 0, 0, 16, 0, 22, 0, 16, 16, 16, 0, 0
0, 2, 24, 1, 12, 22, 16, 12, 6, 22, 22, 0, 0, 16, 2, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0
0, 1, 2, 22, 24, 6, 12, 12, 22, 0, 0, 16, 14, 8, 0, 22, 4, 0, 0, 0, 16, 0, 0, 14, 0, 0
0, 14, 2, 16, 22, 0, 0, 4, 0, 22, 16, 6, 6, 0, 6, 0, 16, 22, 14, 0, 0, 0, 8, 0, 0, 0
0, 17, 4, 4, 4, 22, 14, 4, 8, 0, 6, 22, 0, 0, 14, 0, 0, 0, 14, 0, 16, 0, 0, 0, 0, 0
0, 4, 25, 20, 4, 14, 3, 16, 0, 0, 16, 6, 0, 2, 0, 8, 0, 2, 0, 0, 0, 0, 22, 6, 22, 0
0, 7, 1, 16, 17, 2, 22, 4, 6, 16, 2, 6, 16, 0, 8, 12, 4, 6, 4, 0, 0, 0, 0, 16, 0, 0
0, 7, 4, 6, 0, 14, 16, 14, 22, 2, 0, 22, 0, 12, 0, 0, 0, 22, 0, 16, 0, 0, 16, 4, 6, 0
0, 22, 8, 4, 0, 9, 0, 22, 8, 0, 0, 0, 8, 0, 0, 22, 22, 0, 14, 0, 0, 0, 0, 0, 0, 0
1, 2, 22, 21, 21, 17, 9, 17, 1, 9, 1, 12, 1, 14, 9, 1, 1, 9, 1, 1, 1, 1, 1, 1, 1, 1
1, 19, 25, 17, 13, 2, 17, 10, 1, 9, 5, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 1, 1, 1, 1
1, 7, 14, 17, 14, 5, 11, 15, 17, 17, 12, 13, 3, 1, 9, 1, 1, 1, 1, 1, 9, 6, 1, 1, 1, 1
1, 4, 4, 17, 1, 17, 22, 1, 1, 3, 1, 14, 1, 1, 3, 1, 1, 10, 1, 5, 1, 1, 1, 1, 1, 1
1, 0, 21, 3, 10, 25, 1, 5, 1, 1, 1, 1, 3, 3, 1, 1, 9, 17, 1, 1, 1, 6, 1, 5, 1, 1
